censusid,popcount,mhi,id,dname,lat,lng,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency
2708880,150,94500,2708880,Franconia Public School District,45.3194524,-92.7452584,26.74,259866,9718.25,0,0
2716830,350,62679,2716830,Prinsburg Public School District,44.9443336,-95.1990631,1.43,569466,398227.97,0,0
2715540,450,52260,2715540,Ivanhoe Public School District,44.4676054,-96.2310757,141.59,1418909,10021.25,31994,52.7366667
2721210,350,62750,2721210,Milroy Public School District,44.4344146,-95.5307389,81.48,1129854,13866.64,34232,46.2
2713680,350,48833,2713680,Hendricks Public School District,44.5088558,-96.3990986,141.41,2161147,15282.84,35033,73.2
2718390,550,74688,2718390,Lynd Public School District,44.4033052,-95.9276237,215.17,2552000,11860.39,38785,40.548
2718360,450,49318,2718360,Lyle Public School District,43.5366771,-92.9650599,290.4,3272497,11268.93,39388,42.0285714
2707590,1200,58935,2707590,Carlton Public School District,46.611118,-92.5231059,433.66,5305718,12234.74,39522,56.5757143
2711460,400,52500,2711460,Ellsworth Public School District,43.531348,-95.9835394,142.2,1931174,13580.69,39781,65.7
2709360,350,54688,2709360,Climax-Shelly Public Schools,47.5940442,-96.7922684,216.49,2151649,9938.79,40615,51.8114286
2700150,850,53529,2700150,Clinton-Graceville-Beardsley,45.5331969,-96.4835852,318.43,4013038,12602.58,41976,76.6585714
2713380,600,60865,2713380,Hancock Public School District,45.4815319,-95.7983009,359.77,3680472,10230.07,43060,67.2771429
2700162,1900,66680,2700162,Lake Park Audubon School District,46.8693853,-96.0612805,731.67,6608086,9031.51,43094,60.8028571
2712180,450,68750,2712180,Fisher Public School District,47.8304531,-96.7959339,270.17,2856133,10571.61,43329,42.4128571
2707320,400,53250,2707320,Butterfield Public School District,43.9378261,-94.8072871,205.52,2477941,12056.93,43950,30.1866667
2700148,1100,54347,2700148,Glenville-Emmons School District,43.5464193,-93.2988039,293.7,3556770,12110.21,44112,46.8757143
2707450,300,60469,2707450,Campbell-Tintah Public School District,46.0602873,-96.3761962,130.12,1912706,14699.55,44117,54.7375
2700294,1500,59226,2700294,RTR Public Schools,44.251535,-96.0693417,585.41,7006903,11969.22,44257,60.6914286
2732460,400,60000,2732460,Rothsay Public School District,46.4416465,-96.3541823,291.52,3062816,10506.37,44260,59.3785714
2700388,800,60556,2700388,Round Lake-Brewster Public Schools,43.6340199,-95.4732115,386.85,2552386,6597.87,44687,48.98
2740830,950,68854,2740830,Underwood Public School District,46.312269,-95.8754669,559.99,5222568,9326.18,45041,59.61
2717220,1400,72875,2717220,Kimball Public School District,45.3319061,-94.2827717,758.4,7352283,9694.47,45696,69.8628571
2718540,950,56146,2718540,Mabel-Canton Public School District,43.5763611,-91.8301799,256.28,2918326,11387.26,46123,60.2314286
2705660,1500,61172,2705660,Bird Island-Olivia-Lake Lillian Public School District,44.7806015,-94.9254407,663.87,7736854,11654.17,46275,58.1585714
2732700,400,46750,2732700,South Koochiching School District,48.2561998,-94.0709705,292.54,5317391,18176.63,46298,48.4671429
2700101,850,57679,2700101,Norman County East School District,47.3165421,-96.2256869,261.37,3444826,13179.88,46385,52.9871429
2713040,950,68214,2713040,Granada-Huntley-East Chain,43.6369519,-94.3165151,313.15,3726441,11899.86,46434,47.1428571
2715510,1500,45281,2715510,Isle Public School District,46.1541655,-93.4547996,417.09,4747300,11381.96,46457,53.89
2733210,1200,58524,2733210,Sleepy Eye Public School District,44.2683274,-94.7357253,578.7,6073846,10495.67,46479,58.3171429
2702640,900,62591,2702640,Lester Prairie Public School District,44.8804377,-94.0614136,464.87,4332496,9319.8,46734,55.7157143
2791445,1800,66947,2791445,Lake Crystal-Wellcome Memorial,44.0846976,-94.1950556,935.54,8825009,9433.06,46735,62.4985714
2707110,200,39667,2707110,Browns Valley Public School District,45.6513049,-96.7505553,159.99,1977668,12361.2,46919,39.31
2721270,1000,65972,2721270,Minneota Public School District,44.5695891,-96.0003253,479.65,5172424,10783.75,46982,73.0571429
2700385,850,57159,2700385,Red Lake County Central Public Schools,47.8991209,-95.8699638,388.89,4665530,11997.04,46992,57.5557143
2717120,1300,54309,2717120,Kerkhoven-Murdock-Sunburg,45.2458922,-95.3379434,732.42,6482598,8850.93,46995,53.4671429
2718330,1500,58042,2718330,Luverne Public School District,43.6779079,-96.1823567,1237.64,12521450,10117.2,47029,60.8528571
2700110,1000,54512,2700110,Cedar Mountain School District,44.4705864,-94.8958927,474.08,5382521,11353.61,47129,57.3057143
2717460,500,53750,2717460,Lake Benton Public School District,44.2915588,-96.3335852,197.21,2039518,10341.86,47170,78.1825
2708940,450,56667,2708940,Chokio-Alberta Public School District,45.5350514,-96.1276125,155.03,2233793,14408.78,47337,48.0225
2712210,700,43333,2712210,Floodwood Public School District,46.9180728,-92.9431903,207.78,2947231,14184.38,47401,48.578
2700013,2100,63040,2700013,Waterville-Elysian-Morristown Public School District,44.245235,-93.5755875,777.49,9062443,11656.03,47497,67.18
2791451,1800,73880,2791451,Janesville-Waldorf-Pemberton,44.028136,-93.7224228,678.53,7661013,11290.6,47556,53.7428571
2700132,1500,55145,2700132,Red Rock Central School District,44.144476,-95.230634,431.4,4532341,10506.12,47601,69.0242857
2714040,850,64896,2714040,Hills-Beaver Creek School District,43.5800159,-96.3621938,367.61,3871636,10531.91,47693,67.6771429
2742780,1100,51509,2742780,Windom Public School District,43.8793689,-95.1436626,1077.41,12649677,11740.82,47712,57.6328571
2741430,1300,57109,2741430,Wabasso Public School District,44.4211852,-95.3004837,403.37,4318872,10706.97,47734,55.7385714
2740920,800,47981,2740920,Verndale Public School District,46.4361609,-94.9638283,568.13,5119398,9010.96,47743,52.7028571
2700100,1700,58255,2700100,Fillmore Central,43.6030916,-92.1088086,615.88,7468828,12127.08,47839,60.0357143
2702730,950,59118,2702730,Adrian Public School District,43.69214,-95.9207079,570.78,5923858,10378.53,47893,57.6014286
2700103,1200,47566,2700103,Clearbrook-Gonvick School District,47.7535773,-95.4621883,460.15,4750279,10323.33,47905,56.32
2713140,650,70357,2713140,Grand Meadow Public School District,43.7006985,-92.572777,439.87,5035179,11446.97,47951,53.9157143
2712900,1400,78472,2712900,Goodhue Public School District,44.4187097,-92.5910235,682.9,6072059,8891.58,48000,56.1785714
2723550,850,61563,2723550,Marshall County Central Schools,48.3059436,-96.3363092,427.25,4957405,11603.05,48064,62.4014286
2700024,1300,62011,2700024,Warren-Alvarado-Oslo School District,48.1769101,-96.8124444,479.1,5858244,12227.6,48114,53.8714286
2713020,350,57500,2713020,Goodridge Public School District,48.1577112,-95.7872601,232.21,3278136,14117.12,48272,48.2142857
2700127,600,66774,2700127,Stephen-Argyle Central Schools,48.4181348,-96.8642414,293.09,4152162,14166.85,48302,62.0628571
2700182,2100,51385,2700182,Redwood Area School District,44.5631644,-95.1370458,1130.54,12237498,10824.47,48439,57.7514286
2703300,700,60144,2703300,Ashby Public School District,46.1181061,-95.8362743,285.87,2551563,8925.61,48519,58.9814286
2713890,300,48643,2713890,Herman-Norcross School District,45.8133866,-96.151806,97.45,1604621,16466.1,48590,60
2700091,1800,62614,2700091,MACCRAY School District,45.0003459,-95.3616922,730.42,8313846,11382.28,48617,52.9328571
2713930,600,60000,2713930,Heron Lake-Okabena School District,43.7674632,-95.349101,277.5,3900465,14055.73,48640,46.0928571
2717880,300,58646,2717880,Lancaster Public School District,48.919432,-96.6907618,163.1,2663238,16328.87,48662,71.958
2711220,850,57386,2711220,Edgerton Public School District,43.8820974,-96.1016365,408.35,4162723,10194.01,48724,52.6228571
2732520,1400,63724,2732520,Royalton Public School District,45.841294,-94.2385041,948.11,8440700,8902.66,48784,52.4042857
2723970,1300,59297,2723970,Ogilvie Public School District,45.8379796,-93.4461391,506.11,5297964,10468.01,49065,44.3028571
2725050,2100,44358,2725050,Onamia Public School District,46.0922673,-93.7583998,590.37,9390762,15906.57,49239,36.7657143
2707470,1000,54132,2707470,Canby Public School District,44.7154673,-96.2609803,567.36,5480820,9660.22,49350,66.8328571
2717940,750,55536,2717940,Laporte Public School District,47.2173235,-94.8752198,324.58,3773136,11624.67,49460,48.0328571
2700089,2000,58902,2700089,NRHEG School District,43.8850975,-93.4117599,878.31,8367463,9526.78,49535,58.0628571
2700023,1700,56983,2700023,Buffalo Lake-Hector-Stewart Public Schools,44.7532548,-94.6502099,505.7,6146990,12155.41,49671,64.3071429
2711190,1400,61319,2711190,Eden Valley-Watkins School District,45.3251307,-94.5217966,960.06,9056589,9433.36,49767,67.6214286
2732970,1400,51583,2732970,Sebeka Public School District,46.6154599,-95.0206271,500.1,5234401,10466.71,49787,61.1185714
2791448,600,49868,2791448,Norman County West School District,47.320977,-96.7645873,180.42,2898437,16064.94,49905,88.46
2730150,1000,89554,2730150,Randolph Public School District,44.5396097,-93.0106439,679.42,6804649,10015.38,49924,51.1328571
2719320,1100,73650,2719320,Medford Public School District,44.1736173,-93.2634396,885.73,7943135,8967.9,49957,52.7428571
2700379,2300,66409,2700379,Tri-City United School District,44.4063973,-93.615515,1859.45,18197086,9786.27,49987,57.2214286
2705430,1400,44181,2705430,Bertha-Hewitt Public School District,46.2454425,-95.0755683,491.95,5212284,10595.15,50045,59.5742857
2719170,1500,47569,2719170,McGregor Public School District,46.577144,-93.2387416,464.3,5596677,12054.01,50071,49.2585714
2713110,1200,52271,2713110,Cook County Public Schools,47.7246717,-90.4437558,463.8,5943384,12814.54,50172,58.53
2700090,1900,55152,2700090,Murray County Central School District,43.9869789,-95.8416774,736.95,7907944,10730.64,50236,65.6242857
2732550,1400,65905,2732550,Rush City Public School District,45.6742649,-92.9702159,848.18,7891842,9304.44,50285,67.0014286
2718060,750,55335,2718060,LeRoy-Ostrander Public Schools,43.5655039,-92.4712195,267.05,3581201,13410.23,50344,63.8471429
2718920,450,55125,2718920,Grygla Public School District,48.3598285,-95.4220433,150.23,2773895,18464.32,50347,52.5416667
2742750,1300,50625,2742750,Willow River Public School District,46.3282087,-92.901354,415.48,4674236,11250.21,50386,58.0871429
2706300,1600,53404,2706300,Browerville Public School District,46.0997576,-94.8787597,558.22,5562156,9964.09,50466,41.8114286
2712580,2100,56806,2712580,G.F.W.,44.5410367,-94.5217168,713.67,8777787,12299.5,50468,61.41
2742120,1800,47107,2742120,Waubun-Ogema-White Earth Public Schools,47.126713,-95.787229,660.56,7963601,12055.83,50530,40.8685714
2723580,750,74659,2723580,Nicollet Public School District,44.3081121,-94.2074868,388.01,4287203,11049.21,50567,56.3871429
2718570,800,53550,2718570,Madelia Public School District,44.0440065,-94.4142984,594.62,6380684,10730.69,50573,53.2528571
2714190,1200,71535,2714190,Holdingford Public School District,45.7126891,-94.4059426,1055.74,9635734,9127,50586,66.6742857
2718070,1700,64745,2718070,Le Sueur-Henderson School District,44.4791898,-93.9252557,1023.77,9878508,9649.15,50645,52.9657143
2709540,500,58214,2709540,Comfrey Public School District,44.100034,-94.9100641,146.94,1910965,13005.07,50694,59.6433333
2720580,1500,49673,2720580,Menahga Public School District,46.7762045,-95.1015948,1038.58,8821009,8493.34,50737,57.5242857
2700326,2000,55949,2700326,Tracy Area Public School District,44.2033246,-95.73433,708,7076085,9994.47,50919,65.6485714
2733900,2700,44948,2733900,Staples-Motley School District,46.377865,-94.7615283,1125.59,12249256,10882.52,50933,48.35
2740810,700,63109,2740810,Ulen-Hitterdal Public School District,47.0571296,-96.2474296,304.11,3508939,11538.39,50946,53.7914286
2730450,700,57708,2730450,Red Lake Falls Public School District,47.8693921,-96.2982327,369.44,4449884,12044.94,50961,59.0128571
2700022,1800,45704,2700022,Wadena-Deer Creek School District,46.434274,-95.1865091,1042.4,10328152,9908.05,50978,55.8785714
2741060,1300,59754,2741060,Wabasha-Kellogg Public School District,44.3128249,-92.0308892,524.51,5959455,11361.95,51041,65.0828571
2700328,950,51321,2700328,Ortonville Public Schools,45.2577515,-96.3329085,511.04,6046109,11830.99,51094,58.1571429
2744190,850,64279,2744190,Wrenshall Public School District,46.5190014,-92.3437281,364.46,3952098,10843.71,51121,54.7228571
2700104,2000,57644,2700104,West Central Area,45.8922198,-95.9716478,785.5,9139582,11635.37,51224,69.4728571
2723520,1300,56435,2723520,New York Mills Public School District,46.5498881,-95.3431901,739.75,6706695,9066.16,51507,60.0085714
2704050,1500,85096,2704050,Belle Plaine Public School District,44.6196812,-93.7819675,1599.93,14951404,9345.04,51508,63.2614286
2713860,1200,52578,2713860,Henning Public School District,46.31903,-95.4644919,374.48,4251043,11351.86,51598,64.7157143
2700382,1500,63897,2700382,Brandon-Evansville Public Schools,45.9963965,-95.6617685,480.76,4726135,9830.55,51657,62.2442857
2709690,750,56850,2709690,Cromwell-Wright Public Schools,46.6705876,-92.9108987,323.59,4906784,15163.58,51681,55.3514286
2728230,3200,58450,2728230,Perham-Dent Public School District,46.5746195,-95.6476793,1520.35,15271710,10044.86,51687,61.9742857
2707500,1800,72946,2707500,Cannon Falls Public School District,44.478968,-92.8530418,1153.09,11755018,10194.36,51704,62.4742857
2791446,750,45667,2791446,Tri-County School District,48.6133652,-96.5350604,190.77,2637397,13825.01,51785,66.37
2700108,1900,50663,2700108,Pipestone Area School District,43.9778346,-96.3110668,1150.65,12085558,10503.24,51796,55.4757143
2732070,1000,86518,2732070,Rockford Public School District,45.1037223,-93.6742182,1637.45,16417041,10025.98,51817,67.9671429
2700183,1200,54236,2700183,Westbrook-Walnut Grove Schools,44.1304554,-95.4523926,362.63,4998047,13782.77,51941,54.8528571
2723490,3900,62315,2723490,New Ulm Public School District,44.2913516,-94.4685705,2141.47,23115819,10794.37,52039,57.7357143
2717250,1500,63385,2717250,La Crescent-Hokah School District,43.8013367,-91.335884,1108.1,12031091,10857.41,52112,55.13
2700109,2000,49617,2700109,Long Prairie-Grey Eagle School District,45.9300277,-94.8429574,955.64,8893097,9305.91,52155,38.3971429
2728080,3400,53944,2728080,Park Rapids Public School District,47.0227262,-95.1357955,1670.67,16104587,9639.6,52168,51.7957143
2708910,650,43796,2708910,Chisholm Public School District,47.541039,-92.8621902,728.18,8113580,11142.27,52284,59.0128571
2711085,2000,42910,2711085,East Central School District,46.2146579,-92.5934769,739.97,7746194,10468.25,52288,51.1885714
2740680,900,52689,2740680,Truman Public School District,43.8412678,-94.4373776,211.57,2502616,11828.78,52419,57.6085714
2700088,1100,60331,2700088,Lakeview School District,44.608687,-95.6348351,635.32,6536438,10288.42,52430,64.71
2740665,2200,63616,2740665,Triton School District,44.0816379,-92.9166166,1099.54,9955048,9053.83,52437,50.0985714
2709330,900,80156,2709330,Cleveland Public School District,44.3053501,-93.8195353,509.65,4664608,9152.57,52481,66.7842857
2717100,2200,68889,2717100,Kenyon-Wanamingo School District,44.2935274,-92.916876,774.45,8775631,11331.44,52574,53.3314286
2705730,1500,48125,2705730,Blackduck Public School District,47.6928832,-94.5782797,655.95,7002715,10675.68,52621,48.21
2733870,2400,61064,2733870,St. Peter Public School District,44.339203,-94.0012314,2218.28,23104762,10415.62,52636,59.4428571
2714280,1000,62212,2714280,Houston Public School District,43.77677,-91.5745845,1923.5,19059114,9908.56,52665,57.9471429
2741880,1800,51087,2741880,Waseca Public School District,44.0788088,-93.5189102,1852.86,20317439,10965.45,52667,55.07
2733390,1100,54421,2733390,Springfield Public School District,44.2607998,-94.9772089,559.52,5576610,9966.78,52708,68.5971429
2700123,2200,65680,2700123,Howard Lake-Waverly-Winsted,45.0423581,-94.0396813,1255.38,12322797,9815.99,52743,60.3914286
2702910,2700,49932,2702910,Walker-Hackensack-Akeley School District,47.0446058,-94.5583883,769.62,9261043,12033.27,52748,53.9128571
2700007,1500,56705,2700007,Kingsland Public School District,43.6950381,-92.3179725,563.4,5282881,9376.79,52752,62.0528571
2730870,2400,44496,2730870,Northland Community Schools,47.0544103,-94.0510611,327.35,6038520,18446.68,52789,39.8033333
2742720,3900,53075,2742720,Willmar Public School District,45.0876733,-95.0239358,4253.25,41869252,9844.06,52793,46.68
2710140,1700,47563,2710140,Deer River Public School District,47.5138496,-93.8474107,921.64,12105608,13134.86,52811,53.5571429
2717910,750,58516,2717910,Lanesboro Public School District,43.7275442,-91.9448125,352.39,3613783,10255.07,52824,63.2571429
2733300,700,51125,2733300,Spring Grove School District,43.5756011,-91.631879,363.66,4207056,11568.65,52829,68.2514286
2700287,1900,72169,2700287,Plainview-Elgin-Millville,44.1847281,-92.1941707,1481.68,12679635,8557.61,52892,67.1542857
2717570,500,49521,2717570,Lake of the Woods School District,48.5881525,-94.8866975,459.65,5571088,12120.28,52965,47.2957143
2706150,1000,50814,2706150,Breckenridge Public School District,46.3623768,-96.5184185,634.76,7320207,11532.24,53013,55.0542857
2706060,1700,56893,2706060,Braham Public School District,45.7231163,-93.1987464,740.08,6760399,9134.69,53013,59.8514286
2725140,1300,54559,2725140,Osakis Public School District,45.885153,-95.1055025,840.41,7631697,9080.92,53044,62.0785714
2700126,950,56406,2700126,Ada-Borup Public School District,47.291103,-96.5239017,570.29,7613070,13349.47,53078,59.5242857
2728320,2300,58750,2728320,Pierz Public School District,45.9942788,-94.0548626,1174.65,10189027,8674.1,53080,61.0642857
2700102,2100,61742,2700102,Sibley East School District,44.5680938,-94.1212062,1148.65,10930383,9515.85,53131,50.6314286
2700006,2200,62217,2700006,Maple River School District,43.9061261,-93.9885016,899.91,9650272,10723.6,53160,66.9857143
2733480,900,76795,2733480,St. Clair Public School District,44.0826578,-93.8714048,661.98,6180560,9336.48,53243,60.0714286
2728290,1400,58448,2728290,Rushford-Peterson Public Schools,43.7863591,-91.7953783,693.09,7449969,10748.92,53249,62.1057143
2723370,900,56379,2723370,Nevis Public School District,46.9471619,-94.8808815,592.15,5852396,9883.3,53321,68.3614286
2733600,1200,52333,2733600,St. James Public School District,43.9836244,-94.6347259,1030.52,10567249,10254.29,53349,57.11
2710090,950,53375,2710090,Dawson-Boyd Public School District,44.8993198,-96.012372,565.34,6225734,11012.37,53429,64.4714286
2791447,600,64241,2791447,Kittson Central School District,48.7510461,-96.9832754,232.02,3526781,15200.33,53431,70.4471429
2703030,600,62353,2703030,Alden-Conger Public School District,43.6364923,-93.5615029,501.42,5525741,11020.18,53510,58.6057143
2709480,2000,52685,2709480,Greenway Public School District,47.3437825,-93.3505926,1050.51,12708016,12097,53537,61.7242857
2717520,2000,63472,2717520,Lake City Public School District,44.3928129,-92.3338849,1236.6,11664174,9432.46,53622,56.1157143
2700163,1600,58721,2700163,Renville County West School District,44.7907181,-95.2186117,568.38,6651406,11702.39,53629,54.88
2738280,800,66000,2738280,Swanville Public School District,45.9464225,-94.6396887,313.54,2999605,9566.9,53650,54.4328571
2700019,3200,58327,2700019,Minnewaska School District,45.628635,-95.4454853,1247.56,15730276,12608.83,53712,61.4614286
2700105,2000,54767,2700105,Belgrade-Brooten-Elrosa Public School District,45.4636,-95.0949723,633.68,6728090,10617.49,53713,63.7742857
2718940,2300,52000,2718940,Marshall Public School District,44.4366057,-95.7463159,2517.25,25908771,10292.49,53720,58.6671429
2714070,2200,45951,2714070,Hinckley-Finlayson School District,46.0433365,-92.8958254,962.1,10070689,10467.4,53827,40.7828571
2711520,750,48045,2711520,Ely Public School District,47.9073158,-91.9323094,567.79,7150004,12592.69,53835,63.22
2718210,2700,61330,2718210,Litchfield Public School District,45.1256428,-94.4978021,1555.53,16221008,10427.96,53885,65.1457143
2708220,1500,73407,2708220,Chatfield Public Schools,43.8430231,-92.2043769,867.48,8766530,10105.74,53977,70.5128571
2728110,1100,59044,2728110,Parkers Prairie Public School District,46.1399273,-95.3563313,544.22,6431599,11818.01,53998,64.7771429
2717010,450,43542,2717010,Kelliher Public School District,48.2086227,-94.6516094,276.55,4739154,17136.7,54089,44.6985714
2740860,850,64167,2740860,Upsala Public School District,45.8246278,-94.5295989,380.38,3809450,10014.85,54237,53.2442857
