GEOID,DST_NUM,DST_TYE,District,DST_NAM,ADMTOTAL,GeneralFundExpenditures,PerPupilExp,AvgTeacherSal,ReadingProficiency
2723520,0553,01,0553-01,New York Mills Public School District,739.75,6706695,9066.16,51507,0.600085714
2713020,0561,01,0561-01,Goodridge Public School District,232.21,3278136,14117.12,48272,0.482142857
2738850,0564,01,0564-01,Thief River Falls School District,1970.23,19967183,10134.44,55477,0.603057143
2742750,0577,01,0577-01,Willow River Public School District,415.48,4674236,11250.21,50386,0.580871429
2728380,0578,01,0578-01,Pine City Public School District,1585.47,17968280,11333.09,58157,0.556385714
2711220,0581,01,0581-01,Edgerton Public School District,408.35,4162723,10194.01,48724,0.526228571
2709360,0592,01,0592-01,Climax-Shelly Public Schools,216.49,2151649,9938.79,40615,0.518114286
2709720,0593,01,0593-01,Crookston Public School District,1124.77,12715979,11305.40,55092,0.554271429
2711130,0595,01,0595-01,East Grand Forks Public School District,1911.42,17686216,9252.92,55881,0.545642857
2711910,0599,01,0599-01,Fertile-Beltrami School District,477.62,5543145,11605.76,54262,0.717042857
2712180,0600,01,0600-01,Fisher Public School District,270.17,2856133,10571.61,43329,0.424128571
2712300,0601,01,0601-01,Fosston Public School District,615.05,7021437,11416.04,55771,0.663328571
2722950,0621,01,0621-01,Mounds View Public School District,11656.29,133923939,11489.41,63793,0.675314286
2723850,0622,01,0622-01,North St. Paul-Maplewood-Oakdale School District,10635.99,113727860,10692.74,60296,0.5079
2732430,0623,01,0623-01,Roseville Public School District,7579.82,82594748,10896.66,70958,0.563642857
2742360,0624,01,0624-01,White Bear Lake School District,8707.45,102105396,11726.21,72437,0.6488
2733840,0625,01,0625-01,St. Paul Public School District,35937.23,439053778,12217.24,75199,0.3959
2730450,0630,01,0630-01,Red Lake Falls Public School District,369.44,4449884,12044.94,50961,0.590128571
2721210,0635,01,0635-01,Milroy Public School District,81.48,1129854,13866.64,34232,0.462
2741430,0640,01,0640-01,Wabasso Public School District,403.37,4318872,10706.97,47734,0.557385714
2711760,0656,01,0656-01,Faribault Public School District,3553,42164158,11867.20,57413,0.4167
2723880,0659,01,0659-01,Northfield Public School District,4050.03,47720683,11782.80,59934,0.684371429
2714040,0671,01,0671-01,Hills-Beaver Creek School District,367.61,3871636,10531.91,47693,0.676771429
2703540,0676,01,0676-01,Badger Public School District,221.11,3146215,14229.18,54724,0.692442857
2732250,0682,01,0682-01,Roseau Public School District,1165.07,11945939,10253.41,58274,0.645685714
2741850,0690,01,0690-01,Warroad Public School District,992.99,12008594,12093.37,55268,0.669442857
2708910,0695,01,0695-01,Chisholm Public School District,728.18,8113580,11142.27,52284,0.590128571
2711520,0696,01,0696-01,Ely Public School District,567.79,7150004,12592.69,53835,0.6322
2712210,0698,01,0698-01,Floodwood Public School District,207.78,2947231,14184.38,47401,0.48578
2713920,0700,01,0700-01,Hermantown Public School District,2073.2,18925522,9128.65,61650,0.711714286
2713980,0701,01,0701-01,Hibbing Public School District,2381.46,27959518,11740.49,61451,0.6731
2730090,0704,01,0704-01,Proctor Public School District,1789.77,19787213,11055.73,56413,0.597057143
2741040,0706,01,0706-01,Virginia Public School District,1736.49,19983684,11508.09,62337,0.674685714
2733720,0707,01,0707-01,Nett Lake Public School District,95.98,1773774,18480.66,55843,0.566666667
2711040,0709,01,0709-01,Duluth Public School District,8229.16,111622631,13564.28,63498,0.624971429
2700001,0712,01,0712-01,Mountain Iron-Buhl School District,518.55,6855707,13220.92,59868,0.632328571
2704050,0716,01,0716-01,Belle Plaine Public School District,1599.93,14951404,9345.04,51508,0.632614286
2715750,0717,01,0717-01,Jordan Public School District,1896.91,18040300,9510.36,63076,0.662442857
2730060,0719,01,0719-01,Prior Lake-Savage Area Schools,8819.62,87163913,9882.96,65912,0.682771429
2733000,0720,01,0720-01,Shakopee Public School District,8247.22,75895117,9202.51,59842,0.623271429
2723430,0721,01,0721-01,New Prague Area Schools,4226.44,39848526,9428.39,59222,0.698828571
2703870,0726,01,0726-01,Becker Public School District,2866.46,29895458,10429.40,62625,0.648314286
2705460,0727,01,0727-01,Big Lake Public School District,3026.16,30150488,9963.28,61786,0.631128571
2711370,0728,01,0728-01,Elk River Public School District,13362.27,138474993,10363.13,67476,0.700242857
2714190,0738,01,0738-01,Holdingford Public School District,1055.74,9635734,9127.00,50586,0.666742857
2717220,0739,01,0739-01,Kimball Public School District,758.4,7352283,9694.47,45696,0.698628571
2720550,0740,01,0740-01,Melrose Public School District,1334.42,13303761,9969.70,58695,0.546128571
2728140,0741,01,0741-01,Paynesville Public School District,931.48,8868731,9521.12,61109,0.599428571
2733510,0742,01,0742-01,St. Cloud Public School District,9940.85,103398210,10401.34,56694,0.437257143
2732850,0743,01,0743-01,Sauk Centre Public School District,1093.69,11047164,10100.82,61590,0.623357143
2702930,0745,01,0745-01,Albany Public School District,1761.52,17089551,9701.59,62244,0.682842857
2732820,0748,01,0748-01,Sartell-St. Stephen School District,4017.65,36147962,8997.29,62755,0.721571429
2709440,0750,01,0750-01,Rocori Public School District,2113.89,21712045,10271.13,56975,0.6453
2705760,0756,01,0756-01,Blooming Prairie Public School District,760.07,7208294,9483.72,56088,0.637628571
2728050,0761,01,0761-01,Owatonna Public School District,4943.21,52113289,10542.40,60358,0.539128571
2719320,0763,01,0763-01,Medford Public School District,885.73,7943135,8967.90,49957,0.527428571
2713380,0768,01,0768-01,Hancock Public School District,359.77,3680472,10230.07,43060,0.672771429
2708940,0771,01,0771-01,Chokio-Alberta Public School District,155.03,2233793,14408.78,47337,0.480225
2717120,0775,01,0775-01,Kerkhoven-Murdock-Sunburg,732.42,6482598,8850.93,46995,0.534671429
2704470,0777,01,0777-01,Benson Public School District,786.01,9265765,11788.36,58265,0.514814286
2705430,0786,01,0786-01,Bertha-Hewitt Public School District,491.95,5212284,10595.15,50045,0.595742857
2706300,0787,01,0787-01,Browerville Public School District,558.22,5562156,9964.09,50466,0.418114286
2707110,0801,01,0801-01,Browns Valley Public School District,159.99,1977668,12361.20,46919,0.3931
2742330,0803,01,0803-01,Wheaton Area Public School District,365.13,4836906,13247.08,55648,0.645514286
2741060,0811,01,0811-01,Wabasha-Kellogg Public School District,524.51,5959455,11361.95,51041,0.650828571
2717520,0813,01,0813-01,Lake City Public School District,1236.6,11664174,9432.46,53622,0.561157143
2716830,0815,02,0815-02,Prinsburg Public School District,1.43,569466,398227.97,0,
2740920,0818,01,0818-01,Verndale Public School District,568.13,5119398,9010.96,47743,0.527028571
2732970,0820,01,0820-01,Sebeka Public School District,500.1,5234401,10466.71,49787,0.611185714
2720580,0821,01,0821-01,Menahga Public School District,1038.58,8821009,8493.34,50737,0.575242857
2741880,0829,01,0829-01,Waseca Public School District,1852.86,20317439,10965.45,52667,0.5507
2712270,0831,01,0831-01,Forest Lake Public School District,6058.87,62582630,10329.09,60401,0.6082
2718750,0832,01,0832-01,Mahtomedi Public School District,3303.22,34246154,10367.51,71648,0.7815
2733810,0833,01,0833-01,South Washington County School District,18545.67,201538843,10867.16,65045,0.679471429
2738190,0834,01,0834-01,Stillwater Area Public School District,8433.24,94177645,11167.43,74714,0.680985714
2707320,0836,01,0836-01,Butterfield Public School District,205.52,2477941,12056.93,43950,0.301866667
2718570,0837,01,0837-01,Madelia Public School District,594.62,6380684,10730.69,50573,0.532528571
2733600,0840,01,0840-01,St. James Public School District,1030.52,10567249,10254.29,53349,0.5711
2706150,0846,01,0846-01,Breckenridge Public School District,634.76,7320207,11532.24,53013,0.550542857
2732460,0850,01,0850-01,Rothsay Public School District,291.52,3062816,10506.37,44260,0.593785714
2707450,0852,01,0852-01,Campbell-Tintah Public School District,130.12,1912706,14699.55,44117,0.547375
2718090,0857,01,0857-01,Lewiston-Altura Public School District,728.06,7214946,9909.82,55517,0.630528571
2733450,0858,01,0858-01,St. Charles Public School District,991.46,9596211,9678.87,60584,0.649857143
2744070,0861,01,0861-01,Winona Area Public School District,2778.21,36137814,13007.59,59991,0.488085714
2703150,0876,01,0876-01,Annandale Public School District,1953.52,18442424,9440.61,58699,0.666757143
2707200,0877,01,0877-01,Buffalo-Hanover-Montrose Public Schools,5801.21,59315590,10224.69,59740,0.651242857
2710170,0879,01,0879-01,Delano Public School District,2480.59,25589951,10316.07,58521,0.790085714
2718810,0881,01,0881-01,Maple Lake Public School District,841.82,8700047,10334.81,54901,0.589857143
2721390,0882,01,0882-01,Monticello Public School District,4140.32,50637193,12230.26,63521,0.669028571
2732070,0883,01,0883-01,Rockford Public School District,1637.45,16417041,10025.98,51817,0.679671429
2733790,0885,01,0885-01,St. Michael-Albertville School District,6421.12,55487672,8641.43,63036,0.761828571
2707470,0891,01,0891-01,Canby Public School District,567.36,5480820,9660.22,49350,0.668328571
2707410,0911,01,0911-01,Cambridge-Isanti Public School District,4962.52,49839951,10043.27,57624,0.621257143
2720670,0912,01,0912-01,Milaca Public School District,1756.12,18785271,10697.03,58809,0.583371429
2740810,0914,01,0914-01,Ulen-Hitterdal Public School District,304.11,3508939,11538.39,50946,0.537914286
2791445,2071,01,2071-01,Lake Crystal-Wellcome Memorial,935.54,8825009,9433.06,46735,0.624985714
2740665,2125,01,2125-01,Triton School District,1099.54,9955048,9053.83,52437,0.500985714
2700005,2134,01,2134-01,United South Central School District,702.56,8165950,11623.14,56002,0.607442857
2700006,2135,01,2135-01,Maple River School District,899.91,9650272,10723.60,53160,0.669857143
2700007,2137,01,2137-01,Kingsland Public School District,563.4,5282881,9376.79,52752,0.620528571
2700008,2142,01,2142-01,St. Louis County School District,1983.31,26947153,13586.96,56891,0.549757143
2700013,2143,01,2143-01,Waterville-Elysian-Morristown Public School District,777.49,9062443,11656.03,47497,0.6718
2700017,2144,01,2144-01,Chisago Lakes School District,3432.12,36444116,10618.54,61946,0.6555
2700019,2149,01,2149-01,Minnewaska School District,1247.56,15730276,12608.83,53712,0.614614286
2700021,2154,01,2154-01,Eveleth-Gilbert School District,889.15,11253169,12656.10,55147,0.607171429
2700022,2155,01,2155-01,Wadena-Deer Creek School District,1042.4,10328152,9908.05,50978,0.558785714
2700023,2159,01,2159-01,Buffalo Lake-Hector-Stewart Public Schools,505.7,6146990,12155.41,49671,0.643071429
2710260,2164,01,2164-01,Dilworth-Glyndon-Felton,1605.92,15210547,9471.55,56353,0.620057143
2714070,2165,01,2165-01,Hinckley-Finlayson School District,962.1,10070689,10467.40,53827,0.407828571
2700088,2167,01,2167-01,Lakeview School District,635.32,6536438,10288.42,52430,0.6471
2700089,2168,01,2168-01,NRHEG School District,878.31,8367463,9526.78,49535,0.580628571
2700090,2169,01,2169-01,Murray County Central School District,736.95,7907944,10730.64,50236,0.656242857
2733900,2170,01,2170-01,Staples-Motley School District,1125.59,12249256,10882.52,50933,0.4835
2791447,2171,01,2171-01,Kittson Central School District,232.02,3526781,15200.33,53431,0.704471429
2717100,2172,01,2172-01,Kenyon-Wanamingo School District,774.45,8775631,11331.44,52574,0.533314286
2728970,2174,01,2174-01,Pine River-Backus Public School District,904.8,8716103,9633.18,55275,0.5538
2700024,2176,01,2176-01,Warren-Alvarado-Oslo School District,479.1,5858244,12227.60,48114,0.538714286
2700091,2180,01,2180-01,MACCRAY School District,730.42,8313846,11382.28,48617,0.529328571
2718330,2184,01,2184-01,Luverne Public School District,1237.64,12521450,10117.20,47029,0.608528571
2700099,2190,01,2190-01,Yellow Medicine East,695.39,8244105,11855.37,55702,0.5358
2700100,2198,01,2198-01,Fillmore Central,615.88,7468828,12127.08,47839,0.600357143
2700101,2215,01,2215-01,Norman County East School District,261.37,3444826,13179.88,46385,0.529871429
2700102,2310,01,2310-01,Sibley East School District,1148.65,10930383,9515.85,53131,0.506314286
2700103,2311,01,2311-01,Clearbrook-Gonvick School District,460.15,4750279,10323.33,47905,0.5632
2700104,2342,01,2342-01,West Central Area,785.5,9139582,11635.37,51224,0.694728571
2791446,2358,01,2358-01,Tri-County School District,190.77,2637397,13825.01,51785,0.6637
2700105,2364,01,2364-01,Belgrade-Brooten-Elrosa Public School District,633.68,6728090,10617.49,53713,0.637742857
2712580,2365,01,2365-01,G.F.W.,713.67,8777787,12299.50,50468,0.6141
2700106,2396,01,2396-01,A.C.G.C. Public School District,826.81,8795990,10638.47,56812,0.565114286
2718070,2397,01,2397-01,Le Sueur-Henderson School District,1023.77,9878508,9649.15,50645,0.529657143
2718960,2448,01,2448-01,Martin County West School District,723.32,7859210,10865.47,54846,0.575257143
2791448,2527,01,2527-01,Norman County West School District,180.42,2898437,16064.94,49905,0.8846
2705660,2534,01,2534-01,Bird Island-Olivia-Lake Lillian Public School District,663.87,7736854,11654.17,46275,0.581585714
2713040,2536,01,2536-01,Granada-Huntley-East Chain,313.15,3726441,11899.86,46434,0.471428571
2711085,2580,01,2580-01,East Central School District,739.97,7746194,10468.25,52288,0.511885714
2791449,2609,01,2609-01,Win-E-Mac School District,475.29,5159404,10855.28,54754,0.661842857
2700107,2683,01,2683-01,Greenbush-Middle River School District,284.1,4458991,15695.15,58393,0.594642857
2700123,2687,01,2687-01,Howard Lake-Waverly-Winsted,1255.38,12322797,9815.99,52743,0.603914286
2700108,2689,01,2689-01,Pipestone Area School District,1150.65,12085558,10503.24,51796,0.554757143
2791450,2711,01,2711-01,Mesabi East School District,952.83,10784509,11318.40,58412,0.554257143
2700124,2752,01,2752-01,Fairmont Area School District,1719.05,17712923,10303.90,56229,0.5814
2700109,2753,01,2753-01,Long Prairie-Grey Eagle School District,955.64,8893097,9305.91,52155,0.383971429
2700110,2754,01,2754-01,Cedar Mountain School District,474.08,5382521,11353.61,47129,0.573057143
2700383,2769,01,2769-01,Morris Area Public Schools,1041.88,10437152,10017.61,55627,0.609228571
2745735,2805,01,2805-01,Zumbrota-Mazeppa School District,1204.73,12434013,10321.00,59326,0.660257143
2791451,2835,01,2835-01,Janesville-Waldorf-Pemberton,678.53,7661013,11290.60,47556,0.537428571
2700125,2853,01,2853-01,Lac qui Parle Valley School District,795.69,9193999,11554.75,56793,0.524842857
2700126,2854,01,2854-01,Ada-Borup Public School District,570.29,7613070,13349.47,53078,0.595242857
2700127,2856,01,2856-01,Stephen-Argyle Central Schools,293.09,4152162,14166.85,48302,0.620628571
2700128,2859,01,2859-01,Glencoe-Silver Lake School District,1598.73,16117925,10081.71,56767,0.600785714
2700130,2860,01,2860-01,Blue Earth Area Public Schools,1047.27,11378637,10865.05,57395,0.543414286
2700132,2884,01,2884-01,Red Rock Central School District,431.4,4532341,10506.12,47601,0.690242857
2700148,2886,01,2886-01,Glenville-Emmons School District,293.7,3556770,12110.21,44112,0.468757143
2700150,2888,01,2888-01,Clinton-Graceville-Beardsley,318.43,4013038,12602.58,41976,0.766585714
2700162,2889,01,2889-01,Lake Park Audubon School District,731.67,6608086,9031.51,43094,0.608028571
2700163,2890,01,2890-01,Renville County West School District,568.38,6651406,11702.39,53629,0.5488
2700231,2895,01,2895-01,Jackson County Central School District,1186.54,11970790,10088.82,60319,0.543171429
2700182,2897,01,2897-01,Redwood Area School District,1130.54,12237498,10824.47,48439,0.577514286
2700183,2898,01,2898-01,Westbrook-Walnut Grove Schools,362.63,4998047,13782.77,51941,0.548528571
2700287,2899,01,2899-01,Plainview-Elgin-Millville,1481.68,12679635,8557.61,52892,0.671542857
2700294,2902,01,2902-01,RTR Public Schools,585.41,7006903,11969.22,44257,0.606914286
2700328,2903,01,2903-01,Ortonville Public Schools,511.04,6046109,11830.99,51094,0.581571429
2700326,2904,01,2904-01,Tracy Area Public School District,708,7076085,9994.47,50919,0.656485714
2700379,2905,01,2905-01,Tri-City United School District,1859.45,18197086,9786.27,49987,0.572214286
2700385,2906,01,2906-01,Red Lake County Central Public Schools,388.89,4665530,11997.04,46992,0.575557143
2700388,2907,01,2907-01,Round Lake-Brewster Public Schools,386.85,2552386,6597.87,44687,0.4898
2700382,2908,01,2908-01,Brandon-Evansville Public Schools,480.76,4726135,9830.55,51657,0.622442857
